"PeriodeDeReference","Geo","Dguid","Infractions","Statistiques","UniteDeMesure","IdentificationDUniteDeMesure","FacteurScalaire","IdentificateurScalaire","Vecteur","Coordonnees","Valeur","Status","Symbole","Termine","Decimales"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44349010","8.80.3","","..","","","2"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44378471","8.80.4","422","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44365513","8.80.5","367","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44375438","8.80.6","55","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44353793","8.80.7","355","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44335763","8.80.8","0.00","","","","2"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44343082","8.80.9","348","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44413076","8.80.10","0.00","","","","2"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44356428","8.80.11","7","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44349321","8.80.12","0.00","","","","2"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53083804","8.80.13","2","","","","0"
"1998","Saint John, Nouveau-Brunswick [13310]","2011S0503310","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53083805","8.80.14","0.00","","","","2"
"1998","Québec [24]","2016A000224","Fraude [2160]","Nombre d'affaires réel","Nombre","223","unités","0","v44364126","9.80.1","17415","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Taux pour 100 000 habitants","Taux","257","unités","0","v44362199","9.80.2","238.69","","","","2"
"1998","Québec [24]","2016A000224","Fraude [2160]","Variation du taux en pourcentage","Pourcent","239","unités","0","v44372477","9.80.3","","..","","","2"
"1998","Québec [24]","2016A000224","Fraude [2160]","Total des affaires classées","Nombre","223","unités","0","v44396493","9.80.4","9612","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Affaires classées par mise en accusation","Nombre","223","unités","0","v44331408","9.80.5","6631","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Affaires classées sans mise en accusation","Nombre","223","unités","0","v44407183","9.80.6","2981","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Total des personnes inculpées","Nombre","223","unités","0","v44406077","9.80.7","5462","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Taux, total des personnes inculpées pour 100 000 personnes de 12 ans et plus","Taux","257","unités","0","v44387583","9.80.8","87.85","","","","2"
"1998","Québec [24]","2016A000224","Fraude [2160]","Total des adultes inculpés","Nombre","223","unités","0","v44414768","9.80.9","5237","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Taux d'adultes inculpés pour 100 000 personnes de 18 ans et plus","Taux","257","unités","0","v44401990","9.80.10","92.63","","","","2"
"1998","Québec [24]","2016A000224","Fraude [2160]","Total des jeunes inculpés","Nombre","223","unités","0","v44394313","9.80.11","225","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Taux de jeunes inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v44391008","9.80.12","39.95","","","","2"
"1998","Québec [24]","2016A000224","Fraude [2160]","Total des jeunes non inculpés","Nombre","223","unités","0","v53084129","9.80.13","271","","","","0"
"1998","Québec [24]","2016A000224","Fraude [2160]","Taux de jeunes non inculpés pour 100 000 jeunes de 12 à 17 ans","Taux","257","unités","0","v53084130","9.80.14","48.12","","","","2"
